mes;anio;mes_nombre;equipo;meta_mensual;vol_total;cumplimiento_pct;dias_con_datos;dias_trabajados;prom_diario;rendimiento_m3hr;horas_efectivas;fuente
1;2026;Enero;Millalemu 1.1;7000;7295.5;104.2;31;31;235.3;;;01-Tablero Millalemu Enero 2026.xlsx
1;2026;Enero;Millalemu 1.2;7000;5754.7;82.2;31;31;185.6;;;01-Tablero Millalemu Enero 2026.xlsx
1;2026;Enero;Millalemu 1.3;0;0.0;;31;31;0.0;;;01-Tablero Millalemu Enero 2026.xlsx [M1.3 no operó - corregido por Cesar 2026-05-02]
1;2026;Enero;Millalemu 1.4;7000;6773.8;96.8;31;31;218.5;;;01-Tablero Millalemu Enero 2026.xlsx
1;2026;Enero;Millalemu 11;5000;2620.8;52.4;31;31;84.5;;;01-Tablero Millalemu Enero 2026.xlsx
1;2026;Enero;Millalemu 5;4500;6841.8;152.0;31;31;220.7;;;01-Tablero Millalemu Enero 2026.xlsx
1;2026;Enero;Millalemu 7;7000;6500.5;92.9;31;31;209.7;;;01-Tablero Millalemu Enero 2026.xlsx
1;2026;Enero;Millalemu 9;7000;4546.5;65.0;31;31;146.7;;;01-Tablero Millalemu Enero 2026.xlsx
2;2026;Febrero;Millalemu 1.1;7000;8800.5;125.7;28;28;314.3;;;02-Tablero Millalemu Febrero  2026.xlsx
2;2026;Febrero;Millalemu 1.2;7000;5826.5;83.2;28;28;208.1;;;02-Tablero Millalemu Febrero  2026.xlsx
2;2026;Febrero;Millalemu 1.3;0;0.0;;28;28;0.0;;;02-Tablero Millalemu Febrero  2026.xlsx
2;2026;Febrero;Millalemu 1.4;5500;4676.5;85.0;28;28;167.0;;;02-Tablero Millalemu Febrero  2026.xlsx
2;2026;Febrero;Millalemu 11;6000;6432.7;107.2;28;28;229.7;;;02-Tablero Millalemu Febrero  2026.xlsx
2;2026;Febrero;Millalemu 5;4500;2503.3;55.6;28;28;89.4;;;02-Tablero Millalemu Febrero  2026.xlsx
2;2026;Febrero;Millalemu 7;7000;4910.6;70.2;28;28;175.4;;;02-Tablero Millalemu Febrero  2026.xlsx
2;2026;Febrero;Millalemu 9;5000;4520.3;90.4;28;28;161.4;;;02-Tablero Millalemu Febrero  2026.xlsx
3;2026;Marzo;Millalemu 1.1;7000;7885.8;112.7;31;31;254.4;;;03-Tablero Millalemu Marzo 2027.xlsx
3;2026;Marzo;Millalemu 1.2;7000;6903.3;98.6;31;31;222.7;;;03-Tablero Millalemu Marzo 2027.xlsx
3;2026;Marzo;Millalemu 1.3;7000;0.0;;31;31;0.0;;;03-Tablero Millalemu Marzo 2027.xlsx [M1.3 no operó - corregido por Cesar 2026-05-02]
3;2026;Marzo;Millalemu 1.4;7000;6471.1;92.4;31;31;208.7;;;03-Tablero Millalemu Marzo 2027.xlsx
3;2026;Marzo;Millalemu 11;6000;6234.6;103.9;31;31;201.1;;;03-Tablero Millalemu Marzo 2027.xlsx
3;2026;Marzo;Millalemu 5;4500;3703.5;82.3;31;31;119.5;;;03-Tablero Millalemu Marzo 2027.xlsx
3;2026;Marzo;Millalemu 7;7000;8091.9;115.6;31;31;261.0;;;03-Tablero Millalemu Marzo 2027.xlsx
3;2026;Marzo;Millalemu 9;7000;6157.9;88.0;31;31;198.6;;;03-Tablero Millalemu Marzo 2027.xlsx
4;2026;Abril;Millalemu 1.1;7000;7166.3;102.4;30;30;238.9;4.08;1758.2;Base2NOC.csv (calculado 2026-05-02)
4;2026;Abril;Millalemu 1.2;7000;5217.0;74.5;30;30;173.9;2.66;1959.5;Base2NOC.csv (calculado 2026-05-02)
4;2026;Abril;Millalemu 1.3;7000;3718.8;53.1;30;30;124.0;3.91;952.0;Base2NOC.csv (calculado 2026-05-02)
4;2026;Abril;Millalemu 1.4;7000;5980.1;85.4;30;30;199.3;3.19;1877.0;Base2NOC.csv (calculado 2026-05-02)
4;2026;Abril;Millalemu 11;6000;5683.0;94.7;30;30;189.4;9.74;583.5;Base2NOC.csv (calculado 2026-05-02)
4;2026;Abril;Millalemu 5;4500;3944.6;87.7;30;30;131.5;6.11;646.0;Base2NOC.csv (calculado 2026-05-02)
4;2026;Abril;Millalemu 7;7000;6130.8;87.6;30;30;204.4;4.82;1272.0;Base2NOC.csv (calculado 2026-05-02)
4;2026;Abril;Millalemu 9;7000;4010.9;57.3;30;30;133.7;3.38;1185.0;Base2NOC.csv (calculado 2026-05-02)
